Salary,Name,POS,Bats,Throws,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
11666666.00,Francisco Liriano,SP,,L,,,,,,,,,,,,,,,,,,,,3.6,
12000000.00,Chris Davis,1B,L,,Orioles,160,670,47,100,117,2,12.50%,31.00%,0.3,0.319,0.262,0.361,0.562,0.39,147,-0.5,36.3,-5.5,5.6,9272
12000000.00,R.A. Dickey,SP,,R,,,,,,,,,,,,,,,,,,,,2,
12500000.00,Brett Gardner,OF,L,,Yankees,151,656,16,94,66,20,10.40%,20.60%,0.14,0.312,0.259,0.343,0.399,0.327,105,5.5,9.5,-7,2.6,9927
13000000.00,Yovani Gallardo,SP,,R,,,,,,,,,,,,,,,,,,,,2.5,
13000000.00,Scott Kazmir,SP,,L,,,,,,,,,,,,,,,,,,,,2.4,
13355106.00,Adam Jones,OF,R,,Orioles,137,581,27,74,82,3,4.10%,17.60%,0.205,0.286,0.269,0.308,0.474,0.334,109,0.3,6.4,8.8,3.6,6368
14000000.00,Joey Votto,1B,L,,Reds,158,695,29,95,80,11,20.60%,19.40%,0.228,0.371,0.314,0.459,0.541,0.427,172,-1.2,57.3,-9.3,7.4,4314
14000000.00,Jose Bautista,OF,R,,Blue Jays,153,666,40,108,114,8,16.50%,15.90%,0.285,0.237,0.25,0.377,0.536,0.389,147,2.3,38.9,-18.9,4.5,1887
14000000.00,Shin-Soo Choo,OF,L,,Rangers,149,653,22,94,82,4,11.60%,22.50%,0.187,0.335,0.276,0.375,0.463,0.365,127,1.7,22.1,-10.5,3.5,3174
15200000.00,Yadier Molina,C,R,,Cardinals,136,530,4,34,61,3,6.00%,11.10%,0.08,0.295,0.27,0.31,0.35,0.287,80,-2.5,-14.6,10.7,1.3,7007
15750000.00,John Danks,SP,,L,,,,,,,,,,,,,,,,,,,,1.8,
16500000.00,Jordan Zimmermann,SP,,R,,,,,,,,,,,,,,,,,,,,3,
20000000.00,Mark Buehrle,SP,,L,,,,,,,,,,,,,,,,,,,,2.1,
21857142.00,Adrian Gonzalez,1B,L,,Dodgers,156,643,28,76,90,0,9.60%,16.60%,0.205,0.294,0.275,0.35,0.48,0.354,129,-5.6,15.9,-7.5,3,1908
8000000.00,Neil Walker,2B,S,,Pirates,151,603,16,69,71,4,7.30%,18.20%,0.158,0.306,0.269,0.328,0.427,0.325,108,2.7,8.6,-4.7,2.4,7539
750000.00,Yordano Ventura,SP,,R,,,,,,,,,,,,,,,,,,,,2.7,
512500.00,Nolan Arenado,3B,R,,Rockies,157,665,42,97,130,2,5.10%,16.50%,0.287,0.284,0.287,0.323,0.575,0.371,119,-0.9,14.1,7.6,4.5,9777
507500.00,Billy Burns,OF,S,,Athletics,125,555,5,70,42,26,4.70%,14.60%,0.098,0.339,0.294,0.334,0.392,0.317,102,5.6,7.1,-3.4,2.3,12701
517500.00,Charlie Blackmon,OF,L,,Rockies,157,682,17,93,58,43,6.70%,16.40%,0.163,0.325,0.287,0.347,0.45,0.345,101,3.2,4.3,-5.7,2.1,7859
548000.00,Manny Machado,3B,R,,Orioles,162,713,35,102,86,20,9.80%,15.60%,0.216,0.297,0.286,0.359,0.502,0.37,134,1.1,29.1,11.2,6.8,11493
3200000.00,Brian Matusz,Reliever,,L,Orioles,,,,,,,,,,,,,,,,,,,0.5,
15000000.00,Carlos Beltran,OF,S,,Yankees,133,531,19,57,67,0,8.50%,16.00%,0.195,0.297,0.276,0.337,0.471,0.346,119,-0.4,11,-10.4,1.9,589
16428571.00,Carlos Gonzalez,OF,L,,Rockies,153,608,40,87,97,2,7.60%,21.90%,0.269,0.284,0.271,0.325,0.54,0.364,114,1.3,11.3,-8.1,2.4,7287
537500.00,Kyle Gibson,SP,,R,,,,,,,,,,,,,,,,,,,,2.5,
543000.00,Xander Bogaerts,SS,R,,Red Sox,156,654,7,84,81,10,4.90%,15.40%,0.101,0.372,0.32,0.355,0.421,0.338,109,3.7,10.8,8,4.3,12161
553900.00,Didi Gregorius,SS,L,,Yankees,155,578,9,57,56,5,5.70%,14.70%,0.105,0.297,0.265,0.318,0.37,0.303,89,3.5,-4.1,14.2,3.1,6012
